,School_Name,Schooldigger_Rating,Zipcode
0,Meridian Elementary School,2,98042.0
1,Sunrise Elementary School,4,98042.0
2,Horizon Elementary School,2,98042.0
3,Kentlake High School,3,98042.0
4,Maple View Middle School,4,98042.0
5,Cedar Valley Elementary School,1,98042.0
6,Covington Elementary School,3,98042.0
7,Grass Lake Elementary School,4,98042.0
8,Cedar Heights Middle School,2,98042.0
9,Crestwood Elementary School,3,98042.0
10,Mattson Middle School,3,98042.0
11,Kentwood High School,3,98042.0
12,Jenkins Creek Elementary School,2,98042.0
