,School_Name,Schooldigger_Rating,Zipcode
0,Lea Hill Elementary School,2,98092.0
1,Ilalko Elementary School,2,98092.0
2,Hazelwood Elementary School,3,98092.0
3,Rainier Middle School,1,98092.0
4,Auburn Mountainview High School,2,98092.0
5,Arthur Jacobsen Elementary,1,98092.0
6,Willow Crest Elementary,3,98092.0
7,Lakeland Hills Elementary,4,98092.0
8,Lake View Elementary School,3,98092.0
9,Auburn Riverside High School,2,98092.0
10,Bowman Creek Elementary,4,98092.0
11,Auburn Online,5,98092.0
12,Muckleshoot Tribal School,5,98092.0
