,School_Name,Schooldigger_Rating,Zipcode
0,Lake Washington Technical Academy,5,98034.0
1,Open Doors at LWIT,5,98034.0
2,Carl Sandburg Elementary,5,98034.0
3,Finn Hill Middle School,4,98034.0
4,Helen Keller Elementary,4,98034.0
5,John Muir Elementary,3,98034.0
6,Juanita Elementary,4,98034.0
7,Juanita High School,5,98034.0
8,Kamiakin Middle School,4,98034.0
9,Robert Frost Elementary,4,98034.0
10,Henry David Thoreau Elementary,5,98034.0
11,Discovery Community School,5,98034.0
12,Environmental & Adventure School,5,98034.0
13,Futures School,5,98034.0
