,School_Name,Schooldigger_Rating,Zipcode
0,Adelaide Elementary School,1,98023.0
1,Brigadoon Elementary School,2,98023.0
2,Decatur High School,1,98023.0
3,Lake Grove Elementary School,1,98023.0
4,Lakota Middle School,1,98023.0
5,Olympic View Elementary School,0,98023.0
6,Twin Lakes Elementary School,3,98023.0
7,Green Gables Elementary School,2,98023.0
8,Enterprise Elementary School,1,98023.0
9,Silver Lake Elementary School,1,98023.0
10,Sherwood Forest Elementary School,1,98023.0
11,Employment Transition Program,5,98023.0
12,Birth to Three Development Center,5,98023.0
13,Technology Access Foundation Academy at Saghalie,1,98023.0
