SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,zipcode,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,num_school,school_rating_mean,Bayes_RatingSchool,crime_percentage
PAST SALE,,Single Family Residential,20404 125th Ave NE Unit SM 05,Bothell,WA,98011,1519950.0,5.0,3.0,Woodinville,2853.0,5310.0,2024.0,5.0,533.0,83.0,Pending,,,https://www.redfin.com/WA/Bothell/20404-125th-Ave-NE-98011/unit-SM-05/home/190251288,NWMLS as Distributed by MLS Grid,2212436,N,Y,47.7615464,-122.1738944,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,10028 NE 150th Dr,Bothell,WA,98011,1975000.0,4.0,3.5,Bothell,3600.0,9729.0,2013.0,5.0,549.0,113.0,Pending,,,https://www.redfin.com/WA/Bothell/10028-NE-150th-Dr-98011/home/44657509,NWMLS as Distributed by MLS Grid,2232219,N,Y,47.737284,-122.2059712,8,4.0,3.828642901813634,20.92
PAST SALE,January-12-2007,Single Family Residential,17926 91st Pl NE,Bothell,WA,98011,750000.0,4.0,1.0,Bothell,1400.0,8400.0,1960.0,5.0,536.0,,Pending,,,https://www.redfin.com/WA/Bothell/17926-91st-Pl-NE-98011/home/286196,NWMLS as Distributed by MLS Grid,2232010,N,Y,47.7580659,-122.2199303,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,9322 NE 173rd (Lot 10) Pl,Bothell,WA,98011,1599990.0,5.0,3.0,Downtown Bothell,2706.0,4000.0,2024.0,5.0,591.0,168.0,Pending,,,https://www.redfin.com/WA/Bothell/9322-NE-173rd-St-98011/home/188721875,NWMLS as Distributed by MLS Grid,2192796,N,Y,47.7534933,-122.2152343,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,20410 125th Ave NE Unit SM 04,Bothell,WA,98011,1469950.0,5.0,3.0,Woodinville,2665.0,5310.0,2024.0,6.0,552.0,83.0,Pending,,,https://www.redfin.com/WA/Bothell/20410-125th-Ave-NE-98011/unit-SM-04/home/190133694,NWMLS as Distributed by MLS Grid,2209033,N,Y,47.7615464,-122.1738944,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,8837 NE 173rd Pl Unit C,Bothell,WA,98011,1149950.0,4.0,3.5,Bothell,2229.0,1705.0,2024.0,6.0,516.0,140.0,Active,May-18-2024 01:00 PM,May-18-2024 05:00 PM,https://www.redfin.com/WA/Bothell/8837-NE-173rd-Pl-98011/unit-C/home/190750306,NWMLS as Distributed by MLS Grid,2234485,N,Y,47.7534394,-122.2227406,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,16705 96 Ct NE Unit B35,Bothell,WA,98011,850000.0,3.0,2.0,Bothell,1662.0,,1979.0,6.0,511.0,637.0,Active,May-18-2024 12:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Bothell/16705-96th-Ct-NE-98011/unit-B35/home/190749498,NWMLS as Distributed by MLS Grid,2235034,N,Y,47.7492217,-122.2128742,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,17320 93rd (Lot 4) Ave NE,Bothell,WA,98011,1719990.0,5.0,3.0,Downtown Bothell,2706.0,3988.0,2024.0,6.0,636.0,168.0,Active,May-18-2024 12:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Bothell/17320-93rd-Lot-4-AVE-NE-98011/home/190743038,NWMLS as Distributed by MLS Grid,2235376,N,Y,47.753622,-122.216646,8,4.0,3.828642901813634,20.92
MLS Listing,,Mobile/Manufactured Home,12701 NE 190th St,Bothell,WA,98011,498000.0,3.0,2.0,Holly Hills,1452.0,5185.0,1993.0,7.0,343.0,25.0,Active,,,https://www.redfin.com/WA/Bothell/12701-NE-190th-St-98011/home/17066335,NWMLS as Distributed by MLS Grid,2233921,N,Y,47.7645093,-122.1712849,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,20422 125th Ave NE Unit SM 02,Bothell,WA,98011,1489950.0,5.0,3.0,Woodinville,2700.0,5310.0,2024.0,7.0,552.0,63.0,Pending,,,https://www.redfin.com/WA/Bothell/20422-125th-Ave-NE-98011/unit-SM-02/home/189770546,NWMLS as Distributed by MLS Grid,2200245,N,Y,47.7615464,-122.1738944,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,17340 93rd (Lot 1) Ave NE,Bothell,WA,98011,1699990.0,5.0,3.0,Downtown Bothell,2706.0,4000.0,2024.0,7.0,628.0,168.0,Pending,,,https://www.redfin.com/WA/Bothell/17340-93rd-Lot-1-AVE-NE-98011/home/190364525,NWMLS as Distributed by MLS Grid,2217477,N,Y,47.753901,-122.2167,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,20416 125th Ave NE Unit SM 03,Bothell,WA,98011,1509950.0,5.0,3.0,Woodinville,2853.0,5310.0,2024.0,7.0,529.0,83.0,Pending,,,https://www.redfin.com/WA/Bothell/20416-125th-Ave-NE-98011/unit-SM-03/home/189943852,NWMLS as Distributed by MLS Grid,2203788,N,Y,47.7615464,-122.1738944,8,4.0,3.828642901813634,20.92
PAST SALE,July-24-2013,Townhouse,9821 NE Riverbend Dr,Bothell,WA,98011,895000.0,3.0,2.5,Bothell,2008.0,,1995.0,7.0,446.0,630.0,Pending,,,https://www.redfin.com/WA/Bothell/9821-Riverbend-Dr-98011/home/17074431,NWMLS as Distributed by MLS Grid,2227202,N,Y,47.7487999,-122.2106873,8,4.0,3.828642901813634,20.92
MLS Listing,,Condo/Co-op,10821 NE 147th Ln Unit P-104,Bothell,WA,98011,425000.0,2.0,1.0,Juanita,850.0,,1982.0,7.0,500.0,514.0,Active,,,https://www.redfin.com/WA/Bothell/10821-NE-147th-Ln-98011/unit-P104/home/12307159,NWMLS as Distributed by MLS Grid,2231828,N,Y,47.7345639,-122.1959056,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193rd Ln Unit F,Bothell,WA,98011,899990.0,3.0,3.0,North Creek,1696.0,,2024.0,8.0,531.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-F/home/190407440,NWMLS as Distributed by MLS Grid,2215766,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12008 NE 193rd Ln Unit C,Bothell,WA,98011,924990.0,3.0,3.0,North Creek,1696.0,,2024.0,8.0,545.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12008-NE-193rd-Ln-98011/unit-C/home/190407441,NWMLS as Distributed by MLS Grid,2215799,N,Y,47.768336,-122.179269,8,4.0,3.828642901813634,20.92
PAST SALE,,Mobile/Manufactured Home,12639 NE 194th St,Bothell,WA,98011,550000.0,3.0,2.0,Bothell,1530.0,6513.0,2015.0,8.0,359.0,,Pending,,,https://www.redfin.com/WA/Bothell/12639-NE-194th-St-98011/home/59705021,NWMLS as Distributed by MLS Grid,2232536,N,Y,47.7680658,-122.1713147,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,20328 125th Ave NE Unit SM 08,Bothell,WA,98011,1559950.0,5.0,3.0,Woodinville,2700.0,5310.0,2024.0,8.0,578.0,83.0,Pending,,,https://www.redfin.com/WA/Bothell/20328-125th-Ave-NE-98011/unit-SM-08/home/190487322,NWMLS as Distributed by MLS Grid,2221105,N,Y,47.7615464,-122.1738944,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193rd Ln Unit G,Bothell,WA,98011,1009990.0,4.0,3.5,North Creek,1972.0,,2024.0,8.0,512.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-G/home/190407442,NWMLS as Distributed by MLS Grid,2215805,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12008 NE 193rd Ln Unit A,Bothell,WA,98011,1024990.0,4.0,3.5,North Creek,1972.0,,2024.0,8.0,520.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12008-NE-193rd-Ln-98011/unit-A/home/190407427,NWMLS as Distributed by MLS Grid,2215825,N,Y,47.768336,-122.179269,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,14809 98th Ave NE,Bothell,WA,98011,2390000.0,5.0,4.0,Bothell,4450.0,9791.0,2014.0,8.0,537.0,85.0,Active,,,https://www.redfin.com/WA/Bothell/14809-98th-Ave-NE-98011/home/45451297,NWMLS as Distributed by MLS Grid,2234024,N,Y,47.735956,-122.210412,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193rd Ln Unit A,Bothell,WA,98011,999990.0,4.0,3.5,North Creek,1972.0,,2024.0,10.0,507.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-A/home/189972725,NWMLS as Distributed by MLS Grid,2205842,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12125 NE 193rd Ln Unit E,Bothell,WA,98011,837990.0,3.0,3.0,North Creek,1696.0,,2024.0,10.0,494.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12125-NE-193rd-Ln-98011/unit-E/home/188141687,NWMLS as Distributed by MLS Grid,2173393,N,Y,47.76814,-122.178271,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193rd Ln Unit C,Bothell,WA,98011,868008.0,3.0,3.0,North Creek,1696.0,,2024.0,11.0,512.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-C/home/189624402,NWMLS as Distributed by MLS Grid,2196236,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12008 NE 193rd Ln Unit B,Bothell,WA,98011,899990.0,3.0,3.0,North Creek,1696.0,,2024.0,11.0,531.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12008-NE-193rd-Ln-98011/unit-B/home/189624407,NWMLS as Distributed by MLS Grid,2195711,N,Y,47.768336,-122.179269,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,17326 93rd (Lot 3) Ave NE,Bothell,WA,98011,1699990.0,5.0,3.0,Downtown Bothell,2706.0,4000.0,2024.0,12.0,628.0,168.0,Pending,May-18-2024 12:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Bothell/17326-93rd-Lot-3-AVE-NE-98011/home/190611407,NWMLS as Distributed by MLS Grid,2229542,N,Y,47.753918,-122.216773,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,17344 93rd (Lot 16) Ave NE,Bothell,WA,98011,1799990.0,5.0,4.5,Downtown Bothell,2988.0,7494.0,2024.0,12.0,602.0,168.0,Pending,May-18-2024 12:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Bothell/17344-93rd-Lot-16-AVE-NE-98011/home/190611350,NWMLS as Distributed by MLS Grid,2229525,N,Y,47.754052,-122.216169,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12009 NE 193rd Ln Unit D,Bothell,WA,98011,855990.0,3.0,3.0,North Creek,1696.0,,2024.0,12.0,505.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12009-NE-193rd-Ln-98011/unit-D/home/189334544,NWMLS as Distributed by MLS Grid,2191059,N,Y,47.768141,-122.178794,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193rd Ln Unit D,Bothell,WA,98011,878000.0,3.0,3.0,North Creek,1696.0,,2024.0,13.0,518.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-D/home/189624405,NWMLS as Distributed by MLS Grid,2195697,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12009 NE 193rd Ln Unit F,Bothell,WA,98011,989990.0,4.0,3.5,North Creek,1972.0,,2024.0,13.0,502.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12009-NE-193rd-Ln-98011/unit-F/home/189624404,NWMLS as Distributed by MLS Grid,2196209,N,Y,47.768141,-122.178794,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12008 NE 193rd Ln Unit D,Bothell,WA,98011,914990.0,3.0,3.0,North Creek,1696.0,,2024.0,13.0,539.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12008-NE-193rd-Ln-98011/unit-D/home/189972734,NWMLS as Distributed by MLS Grid,2205758,N,Y,47.768336,-122.179269,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12009 NE 193rd Ln Unit E,Bothell,WA,98011,869990.0,3.0,3.0,North Creek,1696.0,,2024.0,13.0,513.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12009-NE-193rd-Ln-98011/unit-E/home/189624406,NWMLS as Distributed by MLS Grid,2195708,N,Y,47.768141,-122.178794,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193RD Ln Unit B,Bothell,WA,98011,869990.0,3.0,3.0,North Creek,1696.0,,2024.0,13.0,513.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-B/home/189624401,NWMLS as Distributed by MLS Grid,2196330,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12002 NE 194th Ct Unit B,Bothell,WA,98011,949990.0,3.0,3.0,North Creek,1696.0,,2024.0,14.0,560.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12002-NE-194th-Ct-98011/unit-B/home/190615279,NWMLS as Distributed by MLS Grid,2225190,N,Y,47.7685779,-122.1794279,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12009 NE 193rd Ln Unit A,Bothell,WA,98011,971990.0,4.0,3.5,North Creek,1972.0,,2024.0,14.0,493.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12009-NE-193rd-Ln-98011/unit-A/home/189330106,NWMLS as Distributed by MLS Grid,2191102,N,Y,47.768141,-122.178794,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,17332 93rd (Lot 2) Ave NE,Bothell,WA,98011,1699990.0,5.0,3.0,Downtown Bothell,2706.0,4000.0,2024.0,14.0,628.0,168.0,Pending,May-18-2024 12:00 PM,May-18-2024 04:00 PM,https://www.redfin.com/WA/Bothell/17332-93rd-Lot-2-AVE-NE-98011/home/190497984,NWMLS as Distributed by MLS Grid,2222414,N,Y,47.753881,-122.216604,8,4.0,3.828642901813634,20.92
MLS Listing,,Mobile/Manufactured Home,17114 Woodcrest Dr NE,Bothell,WA,98011,539000.0,2.0,2.0,Bothell,1260.0,4285.0,1984.0,14.0,428.0,175.0,Active,,,https://www.redfin.com/WA/Bothell/17114-Woodcrest-Dr-NE-98011/home/55554385,NWMLS as Distributed by MLS Grid,2231931,N,Y,47.7522014,-122.1834773,8,4.0,3.828642901813634,20.92
MLS Listing,,Condo/Co-op,19418 Bothell Way NE Unit A101,Bothell,WA,98011,535000.0,3.0,2.0,Bothell,1210.0,,1991.0,14.0,442.0,662.0,Active,,,https://www.redfin.com/WA/Bothell/19418-Bothell-Way-NE-98011/unit-A101/home/17071029,NWMLS as Distributed by MLS Grid,2232211,N,Y,47.7691452,-122.2109928,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,11719 NE 166th Ct,Bothell,WA,98011,1190000.0,2.0,2.5,Queensgate,1880.0,6494.0,1988.0,14.0,633.0,29.0,Active,,,https://www.redfin.com/WA/Bothell/11719-NE-166th-Ct-98011/home/453525,NWMLS as Distributed by MLS Grid,2228302,N,Y,47.7482563,-122.1845723,8,4.0,3.828642901813634,20.92
MLS Listing,,Condo/Co-op,17204 123rd Pl NE Unit N101,Bothell,WA,98011,539000.0,2.0,2.0,Bothell,967.0,,1995.0,14.0,557.0,477.0,Active,,,https://www.redfin.com/WA/Bothell/17204-123rd-Pl-NE-98011/unit-N101/home/34589,NWMLS as Distributed by MLS Grid,2229899,N,Y,47.7529058,-122.1756136,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12012 NE 193rd Ln Unit D,Bothell,WA,98011,854990.0,3.0,3.0,North Creek,1696.0,,2024.0,15.0,504.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12012-NE-193rd-Ln-98011/unit-D/home/188808680,NWMLS as Distributed by MLS Grid,2183592,N,Y,47.768334,-122.178947,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,10323 NE 189th St Unit D,Bothell,WA,98011,1250000.0,3.0,3.5,Downtown Bothell,2050.0,17984.0,2018.0,15.0,610.0,485.0,Active,,,https://www.redfin.com/WA/Bothell/10323-NE-189th-St-98011/unit-D/home/144536825,NWMLS as Distributed by MLS Grid,2230926,N,Y,47.7644891,-122.2022681,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12009 NE 193rd Ln Unit B,Bothell,WA,98011,896200.0,3.0,3.0,North Creek,1696.0,,2024.0,16.0,528.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12009-NE-193rd-Ln-98011/unit-B/home/189156447,NWMLS as Distributed by MLS Grid,2190994,N,Y,47.768141,-122.178794,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12012 NE 193rd Ln Unit C,Bothell,WA,98011,844990.0,3.0,3.0,North Creek,1696.0,,2024.0,16.0,498.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12012-NE-193rd-Ln-98011/unit-C/home/188254696,NWMLS as Distributed by MLS Grid,2176384,N,Y,47.768334,-122.178947,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,20315 96th Ave NE,Bothell,WA,98011,2585000.0,6.0,6.0,Bothell,4396.0,24056.0,2001.0,16.0,588.0,,Active,,,https://www.redfin.com/WA/Bothell/20315-96th-Ave-NE-98011/home/286979,NWMLS as Distributed by MLS Grid,2225233,N,Y,47.7759498,-122.2128943,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12005 NE 193rd Ln Unit E,Bothell,WA,98011,889990.0,3.0,3.0,North Creek,1696.0,,2024.0,17.0,525.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12005-NE-193rd-Ln-98011/unit-E/home/189972735,NWMLS as Distributed by MLS Grid,2205745,N,Y,47.768136,-122.179352,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,9310 NE 173rd (Lot 9) Pl,Bothell,WA,98011,1674990.0,5.0,3.0,Downtown Bothell,2706.0,4000.0,2024.0,18.0,619.0,168.0,Pending,,,https://www.redfin.com/WA/Bothell/9310-NE-173rd-Pl-98011/home/189529759,NWMLS as Distributed by MLS Grid,2194552,N,Y,47.7537495,-122.214738,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,10322 NE 185th St Unit D,Bothell,WA,98011,1089900.0,3.0,3.5,Downtown Bothell,1911.0,886.0,2024.0,18.0,570.0,23.0,Pending,,,https://www.redfin.com/WA/Bothell/10322-NE-185th-St-98011/unit-D/home/190073265,NWMLS as Distributed by MLS Grid,2204078,N,Y,47.7620033,-122.202388,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12012 NE 193rd Ln Unit A,Bothell,WA,98011,974990.0,4.0,3.5,North Creek,1972.0,,2024.0,18.0,494.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12012-NE-193rd-Ln-98011/unit-A/home/188260957,NWMLS as Distributed by MLS Grid,2176630,N,Y,47.768334,-122.178947,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12009 NE 193rd Ln Unit C,Bothell,WA,98011,855990.0,3.0,3.0,North Creek,1696.0,,2024.0,18.0,505.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12009-NE-193rd-Ln-98011/unit-C/home/189331379,NWMLS as Distributed by MLS Grid,2191072,N,Y,47.768141,-122.178794,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12002 NE 194th Ct Unit A,Bothell,WA,98011,1069990.0,4.0,3.5,North Creek,1972.0,,2024.0,18.0,543.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12002-NE-194th-Ct-98011/unit-A/home/190615280,NWMLS as Distributed by MLS Grid,2225212,N,Y,47.7685779,-122.1794279,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,20320 125th Ave NE Unit SM 10,Bothell,WA,98011,1549950.0,5.0,3.0,Woodinville,2665.0,5310.0,2024.0,19.0,582.0,83.0,Pending,May-17-2024 01:00 PM,May-17-2024 05:00 PM,https://www.redfin.com/WA/Bothell/20320-125th-Ave-NE-98011/unit-SM-10/home/190603371,NWMLS as Distributed by MLS Grid,2227767,N,Y,47.7615464,-122.1738944,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,12002 NE 194th Ct Unit D,Bothell,WA,98011,1089990.0,4.0,3.5,North Creek,1972.0,,2024.0,19.0,553.0,338.0,Active,,,https://www.redfin.com/WA/Bothell/12002-NE-194th-Ct-98011/unit-D/home/190615266,NWMLS as Distributed by MLS Grid,2225679,N,Y,47.7685779,-122.1794279,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,8905 NE 173rd Pl Unit C,Bothell,WA,98011,1059950.0,4.0,3.5,Bothell,2364.0,1494.0,2024.0,20.0,448.0,140.0,Active,May-18-2024 01:00 PM,May-18-2024 05:00 PM,https://www.redfin.com/WA/Bothell/8905-NE-173rd-Pl-98011/unit-C/home/188413653,NWMLS as Distributed by MLS Grid,2225935,N,Y,47.7534466,-122.222408,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,9604 Main St Unit D,Bothell,WA,98011,1400000.0,4.0,3.5,Downtown Bothell,2096.0,,2018.0,21.0,668.0,354.0,Active,,,https://www.redfin.com/WA/Bothell/9604-Main-St-98011/unit-D/home/167228271,NWMLS as Distributed by MLS Grid,2227020,N,Y,47.7601748,-122.2121919,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,18412 96th NE Unit C,Bothell,WA,98011,978000.0,3.0,3.0,Bothell,1537.0,,2020.0,21.0,636.0,310.0,Active,,,https://www.redfin.com/WA/Bothell/18412-96th-Dr-NE-98011/unit-C/home/173022923,NWMLS as Distributed by MLS Grid,2228587,N,Y,47.7612133,-122.2121104,8,4.0,3.828642901813634,20.92
MLS Listing,,Mobile/Manufactured Home,10515 Woodinville Dr Unit #96,Bothell,WA,98011,85000.0,1.0,1.0,Bothell,700.0,,1962.0,21.0,121.0,,Active,,,https://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-96/home/108265935,NWMLS as Distributed by MLS Grid,2228017,N,Y,47.758693,-122.2009839,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,8904 NE 173rd Pl Unit B,Bothell,WA,98011,1074950.0,3.0,3.5,Bothell,2147.0,1025.0,2024.0,22.0,501.0,140.0,Active,May-18-2024 01:00 PM,May-18-2024 05:00 PM,https://www.redfin.com/WA/Bothell/8904-NE-173rd-Pl-98011/unit-B/home/190591676,NWMLS as Distributed by MLS Grid,2226906,N,Y,47.7536522,-122.2223502,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,9027 NE 152nd Pl,Bothell,WA,98011,2195000.0,5.0,4.0,Kenmore,3840.0,10500.0,2005.0,22.0,572.0,46.0,Active,,,https://www.redfin.com/WA/Bothell/9027-NE-152nd-Pl-98011/home/2066201,NWMLS as Distributed by MLS Grid,2225850,N,Y,47.7383425,-122.2203722,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12008 NE 193rd Ln Unit E,Bothell,WA,98011,1014990.0,4.0,3.5,North Creek,1972.0,,2024.0,23.0,515.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12008-NE-193rd-Ln-98011/unit-E/home/189972726,NWMLS as Distributed by MLS Grid,2205844,N,Y,47.768336,-122.179269,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,8905 NE 173rd Pl Unit B,Bothell,WA,98011,1059950.0,4.0,3.5,Bothell,2364.0,1494.0,2024.0,23.0,448.0,140.0,Active,May-18-2024 01:00 PM,May-18-2024 05:00 PM,https://www.redfin.com/WA/Bothell/8905-NE-173rd-Pl-98011/unit-B/home/188418390,NWMLS as Distributed by MLS Grid,2225941,N,Y,47.7534466,-122.222408,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12012 NE 193rd Ln Unit B,Bothell,WA,98011,855000.0,3.0,3.0,North Creek,1696.0,,2024.0,25.0,504.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12012-NE-193rd-Ln-98011/unit-B/home/188260964,NWMLS as Distributed by MLS Grid,2176632,N,Y,47.768334,-122.178947,8,4.0,3.828642901813634,20.92
MLS Listing,,Single Family Residential,10605 NE 194th St,Bothell,WA,98011,1195000.0,4.0,3.0,Maywood Hills,2640.0,8741.0,1961.0,27.0,453.0,,Active,,,https://www.redfin.com/WA/Bothell/10605-NE-194th-St-98011/home/286533,NWMLS as Distributed by MLS Grid,2225752,N,Y,47.7681185,-122.1989351,8,4.0,3.828642901813634,20.92
MLS Listing,,Townhouse,8904 NE 173rd Pl Unit C,Bothell,WA,98011,1099950.0,3.0,3.5,Bothell,2147.0,1437.0,2024.0,27.0,512.0,140.0,Active,May-18-2024 01:00 PM,May-18-2024 05:00 PM,https://www.redfin.com/WA/Bothell/8904-NE-173rd-Pl-98011/unit-C/home/190554398,NWMLS as Distributed by MLS Grid,2200222,N,Y,47.7536522,-122.2223502,8,4.0,3.828642901813634,20.92
PAST SALE,,Single Family Residential,18916 107th Ave NE,Bothell,WA,98011,1988000.0,5.0,4.5,Bothell,3671.0,7488.0,2024.0,32.0,542.0,,Pending,,,https://www.redfin.com/WA/Bothell/18916-107th-Ave-NE-98011/home/22467188,NWMLS as Distributed by MLS Grid,2046779,N,Y,47.765241,-122.197703,8,4.0,3.828642901813634,20.92
PAST SALE,July-3-2017,Mobile/Manufactured Home,10515 Woodinville Dr #78,Bothell,WA,98011,119000.0,2.0,1.0,Bothell,960.0,,1967.0,34.0,124.0,,Pending,,,https://www.redfin.com/WA/Bothell/10515-Woodinville-Dr-98011/unit-78/home/21722074,NWMLS as Distributed by MLS Grid,2209004,N,Y,47.758693,-122.2009839,8,4.0,3.828642901813634,20.92
MLS Listing,,Vacant Land,15515 Waynita Way NE,Bothell,WA,98011,2250000.0,,,Bothell,,157687.0,,34.0,,,Active,,,https://www.redfin.com/WA/Bothell/15515-Waynita-Way-NE-98011/home/285112,NWMLS as Distributed by MLS Grid,2221148,N,Y,47.74066,-122.2109176,8,4.0,3.828642901813634,20.92
PAST SALE,,Townhouse,12012 NE 193rd Ln Unit E,Bothell,WA,98011,999990.0,4.0,3.5,North Creek,1972.0,,2024.0,36.0,507.0,338.0,Pending,,,https://www.redfin.com/WA/Bothell/12012-NE-193rd-Ln-98011/unit-E/home/188808694,NWMLS as Distributed by MLS Grid,2183604,N,Y,47.768334,-122.178947,8,4.0,3.828642901813634,20.92
PAST SALE,June-15-2023,Single Family Residential,18010 92nd Ave NE,Bothell,WA,98011,2199990.0,5.0,4.0,Downtown Bothell,4014.0,8137.0,2024.0,42.0,548.0,,Pending,,,https://www.redfin.com/WA/Bothell/18010-92nd-Ave-NE-98011/home/182535815,NWMLS as Distributed by MLS Grid,2208215,N,Y,47.7587577,-122.2179899,8,4.0,3.828642901813634,20.92
