,School_Name,Schooldigger_Rating,Zipcode
0,Rainier Valley Leadership Academy,5,98118.0
1,Martin Luther King Junior Elementary School,1,98118.0
2,Dunlap Elementary School,1,98118.0
3,Emerson Elementary School,0,98118.0
4,Graham Hill Elementary School,2,98118.0
5,Alan T. Sugiyama High School,5,98118.0
6,Rainier Beach High School,1,98118.0
7,Aki Kurose Middle School,2,98118.0
8,Rising Star Elementary School,2,98118.0
9,Wing Luke Elementary School,3,98118.0
10,Orca K-8 School,3,98118.0
11,Hawthorne Elementary School,4,98118.0
12,South Shore Pk-8 School,2,98118.0
13,Interagency Open Doors,5,98118.0
