,School_Name,Schooldigger_Rating,Zipcode
0,Federal Way High School,1,98003.0
1,Illahee Middle School,0,98003.0
2,Mirror Lake Elementary School,0,98003.0
3,Nautilus K-8 School,3,98003.0
4,Sacajawea Middle School,1,98003.0
5,Wildwood Elementary School,0,98003.0
6,Panther Lake Elementary School,0,98003.0
7,Mark Twain Elementary School,0,98003.0
8,Rainier View Elementary School,0,98003.0
9,Internet Academy,5,98003.0
10,Federal Way Public Academy,5,98003.0
11,Support School,5,98003.0
12,Todd Beamer High School,1,98003.0
13,Federal Way Running Start Home School,5,98003.0
14,Career Academy at Truman High School,5,98003.0
15,Federal Way Public Schools Headstart,5,98003.0
16,Federal Way Public School ECEAP,5,98003.0
17,Gateway to College,5,98003.0
18,Open Doors Youth Reengagement (1418),5,98003.0
