,School_Name,Schooldigger_Rating,Zipcode
0,Rainier Prep,4,98168.0
1,Impact Public Schools,3,98168.0
2,Impact | Salish Sea Elementary,5,98168.0
3,Beverly Park Elementary at Glendale,0,98168.0
4,Cedarhurst Elementary,0,98168.0
5,Hilltop Elementary,0,98168.0
6,Southern Heights Elementary,5,98168.0
7,Glacier Middle School,0,98168.0
8,Foster Senior High School,1,98168.0
9,Showalter Middle School,0,98168.0
10,Tukwila Elementary,2,98168.0
11,Cascade View Elementary,0,98168.0
12,Tukwila Online Learning,5,98168.0
