,School_Name,Schooldigger_Rating,Zipcode
0,Frantz Coe Elementary School,5,98119.0
1,McClure Middle School,4,98119.0
2,Residential Consortium,5,98119.0
3,Cascade Parent Partnership Program,3,98119.0
