,School_Name,Schooldigger_Rating,Zipcode
0,Star Lake Elementary School,1,98032.0
1,Sunnycrest Elementary School,0,98032.0
2,Evergreen Middle School,0,98032.0
3,Kent Elementary School,0,98032.0
4,Neely O Brien Elementary School,1,98032.0
5,Regional Justice Center,5,98032.0
6,Mill Creek Middle School,0,98032.0
